timestamp,vehicle_id,mode,bus_voltage,battery_temp_c,gyro_rate_dps,reaction_wheel_rpm,downlink_snr_db,injected_event,is_injected_anomaly
2026-01-01T00:00:00+00:00,SAT-A,sunlit,28.111,14.655,0.0688,3224.82,15.318,,False
2026-01-01T00:10:00+00:00,SAT-A,sunlit,28.161,16.122,0.0593,3254.95,14.917,,False
2026-01-01T00:20:00+00:00,SAT-A,sunlit,28.167,16.858,0.0563,3262.54,15.087,,False
2026-01-01T00:30:00+00:00,SAT-A,sunlit,28.231,17.743,0.0845,3301.65,14.543,,False
2026-01-01T00:40:00+00:00,SAT-A,sunlit,28.28,19.166,0.072,3279.12,14.729,,False
2026-01-01T00:50:00+00:00,SAT-A,sunlit,28.261,19.762,0.0598,3309.38,14.214,,False
2026-01-01T01:00:00+00:00,SAT-A,sunlit,28.305,21.087,0.0818,3308.32,13.739,,False
2026-01-01T01:10:00+00:00,SAT-A,sunlit,28.278,21.837,0.0859,3290.86,13.476,,False
2026-01-01T01:20:00+00:00,SAT-A,sunlit,28.272,21.723,0.0664,3248.01,12.89,,False
2026-01-01T01:30:00+00:00,SAT-A,sunlit,28.206,21.92,0.0689,3241.68,12.742,,False
2026-01-01T01:40:00+00:00,SAT-A,sunlit,28.18,21.869,0.0683,3230.92,12.662,,False
2026-01-01T01:50:00+00:00,SAT-A,sunlit,28.155,21.437,0.0915,3172.1,12.387,,False
2026-01-01T02:00:00+00:00,SAT-A,sunlit,28.139,21.111,0.0828,3171.13,12.571,,False
2026-01-01T02:10:00+00:00,SAT-A,sunlit,28.075,19.963,0.0566,3133.5,12.332,,False
2026-01-01T02:20:00+00:00,SAT-A,sunlit,27.987,19.456,0.0988,3116.06,12.665,,False
2026-01-01T02:30:00+00:00,SAT-A,eclipse,27.964,18.352,0.0779,3101.62,12.683,,False
2026-01-01T02:40:00+00:00,SAT-A,eclipse,27.949,16.806,0.0842,3123.23,13.05,,False
2026-01-01T02:50:00+00:00,SAT-A,eclipse,27.904,16.302,0.0805,3087.91,13.211,,False
2026-01-01T03:00:00+00:00,SAT-A,eclipse,27.889,15.163,0.0946,3109.07,13.582,,False
2026-01-01T03:10:00+00:00,SAT-A,eclipse,27.917,22.741,0.0815,3145.78,14.343,thermal rise,True
2026-01-01T03:20:00+00:00,SAT-A,eclipse,27.905,14.114,0.0891,3144.35,14.383,,False
2026-01-01T03:30:00+00:00,SAT-A,eclipse,27.984,13.529,0.0767,3162.25,15.017,,False
2026-01-01T03:40:00+00:00,SAT-A,eclipse,28.04,13.762,0.08,3174.15,15.219,,False
2026-01-01T03:50:00+00:00,SAT-A,eclipse,28.083,14.191,0.0869,3217.88,14.979,,False
2026-01-01T04:00:00+00:00,SAT-A,sunlit,28.121,15.015,0.0939,3238.33,14.95,,False
2026-01-01T04:10:00+00:00,SAT-A,sunlit,28.133,15.511,0.1015,3275.04,15.318,,False
2026-01-01T04:20:00+00:00,SAT-A,sunlit,28.175,16.544,0.0989,3295.45,14.805,,False
2026-01-01T04:30:00+00:00,SAT-A,sunlit,28.226,17.637,0.093,3299.73,14.604,,False
2026-01-01T04:40:00+00:00,SAT-A,sunlit,28.254,19.063,0.0683,3310.66,14.462,,False
2026-01-01T04:50:00+00:00,SAT-A,sunlit,28.251,20.074,0.0915,3280.94,14.068,,False
2026-01-01T05:00:00+00:00,SAT-A,sunlit,28.32,21.031,0.0769,3288.27,13.611,,False
2026-01-01T05:10:00+00:00,SAT-A,sunlit,28.252,21.493,0.0844,3263.07,13.298,,False
